No,URL,Tanggal_up,Bujur,Lintang,Lokasi Kejadian,Kategori
1,https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023,2/7/2023,110.3047,7.8014,Gondomanan,Klitih
2,https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023,3/24/2023,110.359,-7.783,Jetis,Klitih
3,https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023,5/27/2023,110.369,-7.8,Gondomanan,Klitih
4,https://rri.co.id/yogyakarta/kriminalitas/500294/jpw-belasan-kejahatan-jalanan-di-diy-selama-2023,10/1/2023,110.352,-7.812,Mantrijeron,Klitih
5,"7 Kawasan di Jogja yang Pernah Terjadi Klitih, Nomor 7 Malah di Pusat Keramaian",4/3/2022,110.4019,-7.8094,Umbulharjo,Klitih
6,"7 Kawasan di Jogja yang Pernah Terjadi Klitih, Nomor 7 Malah di Pusat Keramaian",1/12/2022,110.3726,-7.8034,Pakualaman,Klitih
7,"Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID",1/1/2022,110.3759,-7.7898,Danurejan,Klitih
8,"Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID",1/28/2022,110.3677,-7.7757,Jetis,Klitih
9,"Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID",2/8/2022,110.3738,-7.8176,Mergangsan,Klitih
10,"Daftar Lengkap Aksi Klitih di Jogja Sepanjang 2022, Warga Cari Obat dan Sahur Jadi Korban Kekerasan - ERA.ID",2/20/2022,110.3672,-7.7836,Jetis,Klitih
11,"7 Kawasan di Jogja yang Pernah Terjadi Klitih, Nomor 7 Malah di Pusat Keramaian",10/31/2021,110.4088,-7.7827,Danurejan,Klitih
12,"Baca Jogja – Aksi Brutal Geng Klitih di Kota Yogyakarta, Satu Korban Meninggal",7/31/2021,110.3644,-7.7798,Jetis,Klitih
13,Baca Jogja – Polres Sleman Tangkap Enam Pelaku Klitih Jalan Kaliurang,12/27/2021,110.3895,-7.7285,Ngaglik,Klitih
14,"Harian Jogja – Tawuran Pecah di Jalan Kaliurang, Satu Korban Dibacok",12/27/2021,110.3895,-7.7285,Ngaglik,Klitih
15,iNews Yogya – Polres Sleman Tangkap 6 Pelaku Klitih di Jalan Kaliurang,12/28/2021,110.3928,-7.7209,Ngaglik,Klitih
16,JPNN Jogja – Pelaku Klitih Jalan Kaliurang Diringkus Polisi,12/28/2021,110.3895,-7.7285,Ngaglik,Klitih
17,Inilah Jogja – Kekejaman Klitih di Jalan Kaliurang,12/29/2021,110.3895,-7.7285,Ngaglik,Klitih
18,https://borobudurnews.com/fakta-terbaru-kasus-klitih-jogja-tewaskan-bocah-14-tahun-polisi-temukan-celurit-dan-gir/,7/31/2021,110.3665107,-7.778128991,Jetis,Klitih
20,https://borobudurnews.com/pulang-kerja-pemuda-di-jogja-dibacok-rombongan-diduga-klitih/,8/26/2021,110.3297268,-7.835412,Umbulharjo,Klitih
21,https://www.kompas.id/artikel/pulang-main-gim-tiga-pemuda-jadi-korban-klitih-di-yogyakarta,1/20/2021,110.3880675,-7.819137,Umbulharjo,Klitih
22,https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/4,1/1/2021,110.3500539,-7.8028914,Wirobrajan,Klitih
23,https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/5,1/8/2021,110.3619767,-7.8199858,Mantrijeron,Klitih
24,https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/6,1/26/2021,110.3500539,-7.8028914,Wirobrajan,Klitih
25,https://kumparan.com/kumparannews/waspada-ini-lokasi-laporan-kejahatan-jalanan-klitih-di-yogya-sepanjang-2021-1xD6XmJ2u3q/8,4/14/2021,110.3770867,-7.8178415,Kotagede,Klitih
