id,nama_cctv,jenis_view,playlist_group,youtube_watch_url,youtube_nocookie_embed_url
1,SIMPANG JOKTENG WETAN (PTZ),PTZ,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
2,SIMPANG JOKTENG WETAN V. TIMUR,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
3,SIMPANG TUGU,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
4,NOL KM - UTARA,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
5,NOL KM (PTZ),PTZ,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
6,NOL KM - GEDUNG AGUNG,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
7,SIMPANG BALAIKOTA V. UTARA-BARAT,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
8,SIMPANG WIROBRAJAN (PTZ),PTZ,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
9,SIMPANG GRAMEDIA V. UTARA-TIMUR,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
10,SIMPANG GRAMEDIA (PTZ),PTZ,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
11,SIMPANG GRAMEDIA V. TIMUR,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
12,SIMPANG MELIA PUROSANI (PTZ),PTZ,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
13,SIMPANG MENTERI SUPENO V. TIMUR,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
14,DEPAN DPRD V. UTARA,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
15,KOTABARU - JL. YOS SUDARSO,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
16,KOTABARU - JL. SAJIONO,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
17,KOTABARU - JL. WARDHANI,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
18,MARGO UTOMO - OPTIC TUGU,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
19,JL. MAS SUHARTO V. SELATAN,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
20,SIMPANG GALERIA (PTZ),PTZ,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
21,SIMPANG BOROBUDUR PLAZA V. UTARA,Fixed,CCTV Pemkot Yogyakarta,https://www.youtube.com/,
